location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33759
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76959
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163732
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342399
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556316
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766185
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69123
Netherlands,2021-02-19,Pfizer/BioNTech,931384
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56590
Netherlands,2021-02-26,Oxford/AstraZeneca,181905
Netherlands,2021-02-26,Pfizer/BioNTech,1143830
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75075
Netherlands,2021-03-05,Oxford/AstraZeneca,257245
Netherlands,2021-03-05,Pfizer/BioNTech,1344110
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93991
Netherlands,2021-03-12,Oxford/AstraZeneca,357973
Netherlands,2021-03-12,Pfizer/BioNTech,1509518
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114030
Netherlands,2021-03-19,Oxford/AstraZeneca,357973
Netherlands,2021-03-19,Pfizer/BioNTech,1703880
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154754
Netherlands,2021-03-26,Oxford/AstraZeneca,454076
Netherlands,2021-03-26,Pfizer/BioNTech,1865082
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196159
Netherlands,2021-04-02,Oxford/AstraZeneca,574625
Netherlands,2021-04-02,Pfizer/BioNTech,2154052
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230367
Netherlands,2021-04-09,Oxford/AstraZeneca,844048
Netherlands,2021-04-09,Pfizer/BioNTech,2493597
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261784
Netherlands,2021-04-16,Oxford/AstraZeneca,1154954
Netherlands,2021-04-16,Pfizer/BioNTech,2957561
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,296039
Netherlands,2021-04-23,Oxford/AstraZeneca,1260999
Netherlands,2021-04-23,Pfizer/BioNTech,3461521
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325607
Netherlands,2021-04-30,Oxford/AstraZeneca,1350036
Netherlands,2021-04-30,Pfizer/BioNTech,3989940
Netherlands,2021-05-07,Johnson&Johnson,95474
Netherlands,2021-05-07,Moderna,374445
Netherlands,2021-05-07,Oxford/AstraZeneca,1495436
Netherlands,2021-05-07,Pfizer/BioNTech,4592196
Netherlands,2021-05-14,Johnson&Johnson,124389
Netherlands,2021-05-14,Moderna,451921
Netherlands,2021-05-14,Oxford/AstraZeneca,1685039
Netherlands,2021-05-14,Pfizer/BioNTech,5303986
Netherlands,2021-05-21,Johnson&Johnson,142107
Netherlands,2021-05-21,Moderna,536100
Netherlands,2021-05-21,Oxford/AstraZeneca,1831684
Netherlands,2021-05-21,Pfizer/BioNTech,6086228
Netherlands,2021-05-28,Johnson&Johnson,240283
Netherlands,2021-05-28,Moderna,639462
Netherlands,2021-05-28,Oxford/AstraZeneca,1946439
Netherlands,2021-05-28,Pfizer/BioNTech,6779073
Netherlands,2021-06-04,Johnson&Johnson,389479
Netherlands,2021-06-04,Moderna,781628
Netherlands,2021-06-04,Oxford/AstraZeneca,2079658
Netherlands,2021-06-04,Pfizer/BioNTech,7536272
Netherlands,2021-06-11,Johnson&Johnson,438379
Netherlands,2021-06-11,Moderna,944945
Netherlands,2021-06-11,Oxford/AstraZeneca,2289063
Netherlands,2021-06-11,Pfizer/BioNTech,8772852
Netherlands,2021-06-18,Johnson&Johnson,458455
Netherlands,2021-06-18,Moderna,1075499
Netherlands,2021-06-18,Oxford/AstraZeneca,2460418
Netherlands,2021-06-18,Pfizer/BioNTech,9867222
Netherlands,2021-06-25,Johnson&Johnson,541337
Netherlands,2021-06-25,Moderna,1187078
Netherlands,2021-06-25,Oxford/AstraZeneca,2618346
