date,total_vaccinations,vaccine,location
2020-12-27,490,Pfizer/BioNTech,France
2020-12-28,1029,Pfizer/BioNTech,France
2020-12-29,1354,Pfizer/BioNTech,France
2020-12-30,1734,Pfizer/BioNTech,France
2020-12-31,2032,Pfizer/BioNTech,France
2021-01-01,2565,Pfizer/BioNTech,France
2021-01-02,2857,Pfizer/BioNTech,France
2021-01-03,3168,Pfizer/BioNTech,France
2021-01-04,5047,Pfizer/BioNTech,France
2021-01-05,10867,Pfizer/BioNTech,France
2021-01-06,22586,Pfizer/BioNTech,France
2021-01-07,51794,Pfizer/BioNTech,France
2021-01-08,88659,Pfizer/BioNTech,France
2021-01-09,99804,Pfizer/BioNTech,France
2021-01-10,105615,Pfizer/BioNTech,France
2021-01-11,145343,Pfizer/BioNTech,France
2021-01-12,207223,Pfizer/BioNTech,France
2021-01-13,272011,Pfizer/BioNTech,France
2021-01-14,353130,Pfizer/BioNTech,France
2021-01-15,421520,Pfizer/BioNTech,France
2021-01-16,441425,Pfizer/BioNTech,France
2021-01-17,452296,Pfizer/BioNTech,France
2021-01-18,535012,Pfizer/BioNTech,France
2021-01-19,660830,Pfizer/BioNTech,France
2021-01-20,793194,Pfizer/BioNTech,France
2021-01-21,945979,Pfizer/BioNTech,France
2021-01-22,1061784,Pfizer/BioNTech,France
2021-01-23,1098345,Pfizer/BioNTech,France
2021-01-24,1107888,Pfizer/BioNTech,France
2021-01-25,1183300,Pfizer/BioNTech,France
2021-01-26,1282667,Pfizer/BioNTech,France
2021-01-27,1391732,Pfizer/BioNTech,France
2021-01-28,1526481,Pfizer/BioNTech,France
2021-01-29,1632449,Pfizer/BioNTech,France
2021-01-30,1664566,Pfizer/BioNTech,France
2021-01-31,1671366,Pfizer/BioNTech,France
2021-02-01,1741813,Pfizer/BioNTech,France
2021-02-02,1843937,Pfizer/BioNTech,France
2021-02-03,1947747,Pfizer/BioNTech,France
2021-02-04,2074584,Pfizer/BioNTech,France
2021-02-05,2183112,Pfizer/BioNTech,France
2021-02-06,2212823,Pfizer/BioNTech,France
2021-02-07,2221466,Pfizer/BioNTech,France
2021-02-08,2303683,Pfizer/BioNTech,France
2021-02-09,2426602,Pfizer/BioNTech,France
2021-02-10,2554857,Pfizer/BioNTech,France
2021-02-11,2716927,Pfizer/BioNTech,France
2021-02-12,2846446,Pfizer/BioNTech,France
2021-02-13,2881084,Pfizer/BioNTech,France
2021-02-14,2891911,Pfizer/BioNTech,France
2021-02-15,2989199,Pfizer/BioNTech,France
2021-02-16,3118426,Pfizer/BioNTech,France
2021-02-17,3251749,Pfizer/BioNTech,France
2021-02-18,3414173,Pfizer/BioNTech,France
2021-02-19,3545644,Pfizer/BioNTech,France
2021-02-20,3585808,Pfizer/BioNTech,France
2021-02-21,3594448,Pfizer/BioNTech,France
2021-02-22,3688301,Pfizer/BioNTech,France
2021-02-23,3805807,Pfizer/BioNTech,France
2021-02-24,3923754,Pfizer/BioNTech,France
2021-02-25,4061550,Pfizer/BioNTech,France
2021-02-26,4176288,Pfizer/BioNTech,France
2021-02-27,4212756,Pfizer/BioNTech,France
2021-02-28,4220621,Pfizer/BioNTech,France
2021-03-01,4309321,Pfizer/BioNTech,France
2021-03-02,4426450,Pfizer/BioNTech,France
2021-03-03,4547833,Pfizer/BioNTech,France
2021-03-04,4685259,Pfizer/BioNTech,France
2021-03-05,4818824,Pfizer/BioNTech,France
2021-03-06,4917194,Pfizer/BioNTech,France
2021-03-07,4986161,Pfizer/BioNTech,France
2021-03-08,5088419,Pfizer/BioNTech,France
2021-03-09,5222291,Pfizer/BioNTech,France
2021-03-10,5360685,Pfizer/BioNTech,France
2021-03-11,5519048,Pfizer/BioNTech,France
2021-03-12,5667971,Pfizer/BioNTech,France
2021-03-13,5769547,Pfizer/BioNTech,France
2021-03-14,5816830,Pfizer/BioNTech,France
2021-03-15,5940985,Pfizer/BioNTech,France
2021-03-16,6099084,Pfizer/BioNTech,France
2021-03-17,6262785,Pfizer/BioNTech,France
2021-03-18,6444968,Pfizer/BioNTech,France
2021-03-19,6613738,Pfizer/BioNTech,France
2021-03-20,6699684,Pfizer/BioNTech,France
2021-03-21,6728472,Pfizer/BioNTech,France
2021-03-22,6873966,Pfizer/BioNTech,France
2021-03-23,7054692,Pfizer/BioNTech,France
2021-03-24,7234993,Pfizer/BioNTech,France
2021-03-25,7439131,Pfizer/BioNTech,France
2021-03-26,7642534,Pfizer/BioNTech,France
2021-03-27,7768444,Pfizer/BioNTech,France
2021-03-28,7814217,Pfizer/BioNTech,France
2021-03-29,7993624,Pfizer/BioNTech,France
2021-03-30,8224331,Pfizer/BioNTech,France
2021-03-31,8461604,Pfizer/BioNTech,France
2021-04-01,8734503,Pfizer/BioNTech,France
2021-04-02,8982845,Pfizer/BioNTech,France
2021-04-03,9128788,Pfizer/BioNTech,France
2021-04-04,9179369,Pfizer/BioNTech,France
2021-04-05,9234055,Pfizer/BioNTech,France
2021-04-06,9494594,Pfizer/BioNTech,France
2021-04-07,9799099,Pfizer/BioNTech,France
2021-04-08,10132809,Pfizer/BioNTech,France
2021-04-09,10454109,Pfizer/BioNTech,France
2021-04-10,10644326,Pfizer/BioNTech,France
2021-04-11,10715180,Pfizer/BioNTech,France
2021-04-12,10986809,Pfizer/BioNTech,France
2021-04-13,11318112,Pfizer/BioNTech,France
2021-04-14,11648772,Pfizer/BioNTech,France
2021-04-15,11996337,Pfizer/BioNTech,France
2021-04-16,12327040,Pfizer/BioNTech,France
2021-04-17,12516229,Pfizer/BioNTech,France
2021-04-18,12572950,Pfizer/BioNTech,France
2021-04-19,12858290,Pfizer/BioNTech,France
2021-04-20,13196039,Pfizer/BioNTech,France
2021-04-21,13536460,Pfizer/BioNTech,France
2021-04-22,13907810,Pfizer/BioNTech,France
2021-04-23,14263419,Pfizer/BioNTech,France
2021-04-24,14484756,Pfizer/BioNTech,France
2021-04-25,14568205,Pfizer/BioNTech,France
2021-04-26,14887315,Pfizer/BioNTech,France
2021-04-27,15270438,Pfizer/BioNTech,France
2021-04-28,15664132,Pfizer/BioNTech,France
2021-04-29,16094500,Pfizer/BioNTech,France
2021-04-30,16514468,Pfizer/BioNTech,France
2021-05-01,16695135,Pfizer/BioNTech,France
2021-05-02,16804449,Pfizer/BioNTech,France
2021-05-03,17200914,Pfizer/BioNTech,France
2021-05-04,17653445,Pfizer/BioNTech,France
2021-05-05,18120941,Pfizer/BioNTech,France
2021-05-06,18613500,Pfizer/BioNTech,France
2021-05-07,19092870,Pfizer/BioNTech,France
2021-05-08,19332387,Pfizer/BioNTech,France
2021-05-09,19482391,Pfizer/BioNTech,France
2021-05-10,19932930,Pfizer/BioNTech,France
2021-05-11,20462688,Pfizer/BioNTech,France
2021-05-12,21004266,Pfizer/BioNTech,France
2021-05-13,21334164,Pfizer/BioNTech,France
2021-05-14,21832202,Pfizer/BioNTech,France
2021-05-15,22194437,Pfizer/BioNTech,France
2021-05-16,22367151,Pfizer/BioNTech,France
2021-05-17,22802067,Pfizer/BioNTech,France
2021-05-18,23295391,Pfizer/BioNTech,France
2021-05-19,23793537,Pfizer/BioNTech,France
2021-05-20,24311267,Pfizer/BioNTech,France
2021-05-21,24807700,Pfizer/BioNTech,France
2021-05-22,25124928,Pfizer/BioNTech,France
2021-05-23,25258788,Pfizer/BioNTech,France
2021-05-24,25528554,Pfizer/BioNTech,France
2021-05-25,26026290,Pfizer/BioNTech,France
2021-05-26,26532450,Pfizer/BioNTech,France
2021-05-27,27066425,Pfizer/BioNTech,France
2021-05-28,27577409,Pfizer/BioNTech,France
2021-05-29,27911703,Pfizer/BioNTech,France
2021-05-30,28034751,Pfizer/BioNTech,France
2021-05-31,28497261,Pfizer/BioNTech,France
2021-06-01,29022036,Pfizer/BioNTech,France
2021-06-02,29537286,Pfizer/BioNTech,France
2021-06-03,30072718,Pfizer/BioNTech,France
