entity,indicator,date,value
Bulgaria,Daily hospital occupancy,2020-04-06,210.0
Bulgaria,Daily hospital occupancy,2020-04-07,213.0
Bulgaria,Daily hospital occupancy,2020-04-08,233.0
Bulgaria,Daily hospital occupancy,2020-04-09,233.0
Bulgaria,Daily hospital occupancy,2020-04-10,231.0
Bulgaria,Daily hospital occupancy,2020-04-11,231.0
Bulgaria,Daily hospital occupancy,2020-04-12,230.0
Bulgaria,Daily hospital occupancy,2020-04-13,230.0
Bulgaria,Daily hospital occupancy,2020-04-14,209.0
Bulgaria,Daily hospital occupancy,2020-04-15,218.0
Bulgaria,Daily hospital occupancy,2020-04-16,227.0
Bulgaria,Daily hospital occupancy,2020-04-17,244.0
Bulgaria,Daily hospital occupancy,2020-04-18,246.0
Bulgaria,Daily hospital occupancy,2020-04-19,259.0
Bulgaria,Daily hospital occupancy,2020-04-20,268.0
Bulgaria,Daily hospital occupancy,2020-04-21,268.0
Bulgaria,Daily hospital occupancy,2020-04-22,281.0
Bulgaria,Daily hospital occupancy,2020-04-23,270.0
Bulgaria,Daily hospital occupancy,2020-04-24,282.0
Bulgaria,Daily hospital occupancy,2020-04-25,292.0
Bulgaria,Daily hospital occupancy,2020-04-26,292.0
Bulgaria,Daily hospital occupancy,2020-04-27,301.0
Bulgaria,Daily hospital occupancy,2020-04-28,301.0
Bulgaria,Daily hospital occupancy,2020-04-29,287.0
Bulgaria,Daily hospital occupancy,2020-04-30,317.0
Bulgaria,Daily hospital occupancy,2020-05-01,317.0
Bulgaria,Daily hospital occupancy,2020-05-02,321.0
Bulgaria,Daily hospital occupancy,2020-05-03,321.0
Bulgaria,Daily hospital occupancy,2020-05-04,321.0
Bulgaria,Daily hospital occupancy,2020-05-05,316.0
Bulgaria,Daily hospital occupancy,2020-05-06,316.0
Bulgaria,Daily hospital occupancy,2020-05-07,353.0
Bulgaria,Daily hospital occupancy,2020-05-08,355.0
Bulgaria,Daily hospital occupancy,2020-05-09,380.0
Bulgaria,Daily hospital occupancy,2020-05-10,389.0
Bulgaria,Daily hospital occupancy,2020-05-11,385.0
Bulgaria,Daily hospital occupancy,2020-05-12,368.0
Bulgaria,Daily hospital occupancy,2020-05-13,365.0
Bulgaria,Daily hospital occupancy,2020-05-14,365.0
Bulgaria,Daily hospital occupancy,2020-05-15,321.0
Bulgaria,Daily hospital occupancy,2020-05-16,322.0
Bulgaria,Daily hospital occupancy,2020-05-17,323.0
Bulgaria,Daily hospital occupancy,2020-05-18,329.0
Bulgaria,Daily hospital occupancy,2020-05-19,299.0
Bulgaria,Daily hospital occupancy,2020-05-20,285.0
Bulgaria,Daily hospital occupancy,2020-05-21,287.0
Bulgaria,Daily hospital occupancy,2020-05-22,258.0
Bulgaria,Daily hospital occupancy,2020-05-23,258.0
Bulgaria,Daily hospital occupancy,2020-05-24,234.0
Bulgaria,Daily hospital occupancy,2020-05-25,235.0
Bulgaria,Daily hospital occupancy,2020-05-26,229.0
Bulgaria,Daily hospital occupancy,2020-05-27,229.0
Bulgaria,Daily hospital occupancy,2020-05-28,198.0
Bulgaria,Daily hospital occupancy,2020-05-29,191.0
